Rank,Team,Games,Rushes,RushingYds,YdsPerRush,RushingTDs,RushingYPG
1,Georgia Tech ,13,745,4225,5.67,46,325
2,Army West Point ,13,824,4062,4.93,47,312.5
3,Air Force ,12,714,3402,4.76,33,283.5
4,Memphis ,14,615,3919,6.37,48,279.9
5,Navy ,13,732,3589,4.9,37,276.1
6,Wisconsin ,13,571,3554,6.22,32,273.4
7,Ga. Southern ,13,643,3461,5.38,35,266.2
8,UCF ,13,594,3448,5.8,43,265.2
9,Ohio ,13,556,3361,6.04,40,258.5
10,Clemson ,15,568,3723,6.55,49,248.2
11,Oklahoma ,14,527,3464,6.57,42,247.4
12,Illinois ,12,493,2916,5.91,25,243
13,Fla. Atlantic ,12,566,2902,5.13,35,241.8
14,Appalachian St. ,13,540,3125,5.79,31,240.4
15,Cincinnati ,13,600,3113,5.19,38,239.5
16,Georgia ,14,567,3343,5.9,30,238.8
17,Maryland ,12,487,2762,5.67,26,230.2
18,Pittsburgh ,14,571,3191,5.59,30,227.9
19,UNLV ,12,544,2692,4.95,23,224.3
20,Mississippi St. ,13,514,2907,5.66,26,223.6
21,Texas A&M ,13,538,2847,5.29,28,219
22,Louisiana ,14,553,3062,5.54,31,218.7
23,Tulane ,13,604,2836,4.7,29,218.2
24,Houston ,13,536,2822,5.26,29,217.1
25,Toledo ,13,532,2807,5.28,30,215.9
26,Wake Forest ,13,625,2778,4.44,21,213.7
27,Florida ,13,526,2771,5.27,23,213.2
28,Nebraska ,12,464,2508,5.41,25,209
29,Penn St. ,13,521,2664,5.11,34,204.9
30,Michigan ,13,549,2649,4.83,26,203.8
31,Utah St. ,13,480,2641,5.5,37,203.2
32,Arizona ,12,492,2429,4.94,14,202.4
33,Missouri ,13,553,2631,4.76,27,202.4
34,UAB ,14,623,2818,4.52,32,201.3
35,Tulsa ,12,582,2406,4.13,23,200.5
36,Syracuse ,13,602,2601,4.32,38,200.1
37,UConn ,12,500,2394,4.79,16,199.5
38,Western Mich. ,13,566,2593,4.58,32,199.5
39,Wyoming ,12,495,2393,4.83,19,199.4
40,Kentucky ,13,536,2592,4.84,27,199.4
41,Coastal Caro. ,12,515,2384,4.63,21,198.7
42,Alabama ,15,571,2976,5.21,33,198.4
43,South Fla. ,13,517,2522,4.88,26,194
44,North Carolina ,11,402,2123,5.28,19,193
45,Miami (FL) ,13,479,2489,5.2,25,191.5
46,Oklahoma St. ,13,518,2474,4.78,30,190.3
47,Buffalo ,14,585,2648,4.53,36,189.1
48,Boston College ,12,558,2269,4.07,23,189.1
49,Arkansas St. ,13,508,2402,4.73,18,184.8
50,Arizona St. ,13,502,2392,4.76,26,184
51,Notre Dame ,13,536,2374,4.43,27,182.6
52,Kansas St. ,12,507,2191,4.32,20,182.6
53,Utah ,14,563,2520,4.48,23,180
54,Oregon ,13,529,2332,4.41,28,179.4
55,Washington ,14,564,2468,4.38,26,176.3
56,FIU ,13,476,2286,4.8,27,175.8
57,Virginia Tech ,13,520,2266,4.36,19,174.3
58,Troy ,13,485,2263,4.67,21,174.1
59,LSU ,13,563,2257,4.01,29,173.6
60,Virginia ,13,499,2252,4.51,19,173.2
61,Kent St. ,12,494,2060,4.17,20,171.7
62,Georgia St. ,12,463,2057,4.44,21,171.4
63,Ohio St. ,14,570,2398,4.21,23,171.3
64,Minnesota ,13,524,2221,4.24,23,170.8
65,Baylor ,13,502,2198,4.38,25,169.1
66,Boise St. ,13,519,2178,4.2,24,167.5
- ,Vanderbilt ,13,434,2178,5.02,22,167.5
68,Auburn ,13,512,2177,4.25,25,167.5
69,La.-Monroe ,12,414,2008,4.85,22,167.3
70,Northern Ill. ,14,597,2337,3.91,17,166.9
71,Marshall ,13,475,2152,4.53,22,165.5
72,Ole Miss ,12,419,1969,4.7,24,164.1
73,Charlotte ,12,526,1951,3.71,18,162.6
74,San Diego St. ,13,519,2102,4.05,16,161.7
75,West Virginia ,12,425,1931,4.54,22,160.9
76,Miami (OH) ,12,442,1917,4.34,25,159.8
77,Duke ,13,480,2075,4.32,19,159.6
78,Kansas ,12,423,1903,4.5,14,158.6
79,Indiana ,12,428,1888,4.41,17,157.3
80,California ,13,487,2045,4.2,13,157.3
81,TCU ,13,494,2036,4.12,14,156.6
82,Temple ,13,494,2027,4.1,28,155.9
83,Ball St. ,12,448,1868,4.17,20,155.7
84,Oregon St. ,12,485,1867,3.85,23,155.6
85,UCLA ,12,451,1858,4.12,20,154.8
86,Fresno St. ,14,501,2161,4.31,31,154.4
87,North Texas ,13,462,1999,4.33,25,153.8
88,New Mexico ,12,505,1838,3.64,17,153.2
89,BYU ,13,483,1991,4.12,27,153.2
90,Texas ,14,569,2143,3.77,24,153.1
91,South Carolina ,13,444,1986,4.47,15,152.8
92,South Alabama ,12,491,1824,3.71,17,152
- ,Nevada ,13,436,1976,4.53,24,152
94,Iowa ,13,488,1929,3.95,19,148.4
95,Texas St. ,12,447,1777,3.98,15,148.1
96,Eastern Mich. ,13,493,1890,3.83,23,145.4
97,Rice ,13,490,1867,3.81,15,143.6
98,Arkansas ,12,440,1721,3.91,11,143.4
99,Colorado ,12,452,1716,3.8,21,143
100,NC State ,13,483,1858,3.85,27,142.9
101,Louisville ,12,403,1698,4.21,18,141.5
102,Massachusetts ,12,410,1674,4.08,22,139.5
103,Western Ky. ,12,439,1642,3.74,15,136.8
104,Purdue ,13,400,1773,4.43,20,136.4
105,Rutgers ,12,421,1609,3.82,12,134.1
106,Southern California ,12,392,1602,4.09,17,133.5
107,Middle Tenn. ,14,505,1857,3.68,15,132.6
108,Texas Tech ,12,437,1591,3.64,26,132.6
109,Louisiana Tech ,13,438,1721,3.93,22,132.4
110,Old Dominion ,12,425,1569,3.69,24,130.8
111,Iowa St. ,13,466,1691,3.63,20,130.1
112,East Carolina ,12,427,1556,3.64,13,129.7
113,Tennessee ,12,419,1549,3.7,15,129.1
114,Michigan St. ,13,465,1623,3.49,14,124.8
115,UTEP ,12,427,1484,3.48,17,123.7
116,Central Mich. ,12,447,1442,3.23,8,120.2
117,Bowling Green ,12,417,1399,3.35,9,116.6
118,SMU ,12,401,1386,3.46,17,115.5
119,Northwestern ,14,518,1609,3.11,25,114.9
120,Southern Miss. ,11,399,1239,3.11,11,112.6
121,Hawaii ,14,418,1534,3.67,11,109.6
122,Stanford ,13,384,1403,3.65,16,107.9
123,Colorado St. ,12,392,1267,3.23,8,105.6
124,New Mexico St. ,12,354,1264,3.57,14,105.3
125,Akron ,12,390,1143,2.93,5,95.3
126,Florida St. ,12,392,1093,2.79,11,91.1
127,UTSA ,12,354,1047,2.96,7,87.3
128,Washington St. ,13,281,1010,3.59,24,77.7
129,San Jose St. ,12,356,738,2.07,8,61.5
