,Team,Games,Rushes,RushingYds,YdsPerRush,RushingTDs,RushingYPG,OppSTFL,OppATFL,OppTFL,OppTackleYds,OppTackleYdsAvg,Plays,TotalYds,YdsPerPlay,OffTDs,YPG,Conf,TeamColor,TennColor,PlaysPerTFL
15,Georgia,14,567,3343,5.9,30,238.8,45,40,65,218,4.64,923,6508,7.05,64,464.9,SEC,#BA0C2F,#74ABD6,14.2
19,Miss State,13,514,2907,5.66,26,223.6,45,32,61,255,4.69,837,5166,6.17,48,397.4,SEC,#660000,#74ABD6,13.72
20,Texas A&M,13,538,2847,5.29,28,219.0,74,30,89,349,6.85,980,6131,6.26,53,471.6,SEC,#500000,#74ABD6,11.01
26,Florida,13,526,2771,5.27,23,213.2,42,28,56,202,4.31,890,5547,6.23,51,426.7,SEC,#0021A5,#74ABD6,15.89
32,Missouri,13,553,2631,4.76,27,202.4,48,8,52,201,4.0,1004,6263,6.24,55,481.8,SEC,#F1B82D,#74ABD6,19.31
39,Kentucky,13,536,2592,4.84,27,199.4,53,52,79,292,6.08,832,4691,5.64,41,360.8,SEC,#0033a0,#74ABD6,10.53
41,Alabama,15,571,2976,5.21,33,198.4,44,42,65,254,4.33,1009,7830,7.76,85,522.0,SEC,#9e1b32,#74ABD6,15.52
58,LSU,13,563,2257,4.01,29,173.6,58,62,89,311,6.85,950,5227,5.5,46,402.1,SEC,#461D7C,#74ABD6,10.67
66,Vanderbilt,13,434,2178,5.02,22,167.5,57,26,70,286,5.38,850,5346,6.29,46,411.2,SEC,#866d4b,#74ABD6,12.14
67,Auburn,13,512,2177,4.25,25,167.5,55,24,67,310,5.15,894,5069,5.67,46,389.9,SEC,#0C2340,#74ABD6,13.34
71,Ole Miss,12,419,1969,4.7,24,164.1,54,44,76,301,6.33,860,6126,7.12,45,510.5,SEC,#14213D,#74ABD6,11.32
90,South Carolina,13,444,1986,4.47,15,152.8,51,22,62,264,4.77,887,5533,6.24,47,425.6,SEC,#000000,#74ABD6,14.31
97,Arkansas,12,440,1721,3.91,11,143.4,69,40,89,372,7.42,810,4028,4.97,28,335.7,SEC,#9D2235,#74ABD6,9.1
112,Tennessee,12,419,1549,3.7,15,129.1,72,40,92,287,7.67,716,3906,5.46,30,325.5,SEC,#FF8200,#f77f00,7.78
